epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1476.33,0.72989,0.5059,0.89143,0.80624,0.6594,0.77258,0.4714,1.23928,0.9991,1.11415,0.000349194,0.000349194,0.000349194
90,1492.93,0.74949,0.50183,0.90968,0.76467,0.74626,0.78823,0.47316,1.24143,0.91341,1.119,0.000343696,0.000343696,0.000343696
91,1509.51,0.71478,0.4878,0.89516,0.80277,0.72493,0.77497,0.47364,1.22663,0.92723,1.11792,0.000338198,0.000338198,0.000338198
92,1525.96,0.74491,0.5184,0.89743,0.7991,0.67501,0.74849,0.46318,1.23834,0.97058,1.11429,0.0003327,0.0003327,0.0003327
93,1542.55,0.75574,0.50755,0.9062,0.82569,0.69683,0.76122,0.45324,1.25939,0.93874,1.11272,0.000327202,0.000327202,0.000327202
94,1559.15,0.74536,0.48705,0.9051,0.83072,0.69177,0.76667,0.4726,1.25253,0.97584,1.1186,0.000321705,0.000321705,0.000321705
95,1575.48,0.71841,0.48377,0.89944,0.81456,0.71344,0.78598,0.46438,1.30495,0.92262,1.13682,0.000316207,0.000316207,0.000316207
96,1592.27,0.72663,0.48899,0.89279,0.80732,0.69483,0.77572,0.47807,1.24476,0.93986,1.12039,0.000310709,0.000310709,0.000310709
97,1608.73,0.7228,0.48436,0.88844,0.78164,0.70878,0.76591,0.46823,1.26082,0.98265,1.12438,0.000305211,0.000305211,0.000305211
98,1625.29,0.72563,0.4746,0.89833,0.76786,0.70305,0.75056,0.46441,1.237,0.99942,1.12776,0.000299713,0.000299713,0.000299713
99,1641.78,0.70493,0.46689,0.89057,0.78145,0.68503,0.75114,0.45937,1.25738,1.02339,1.11998,0.000294216,0.000294216,0.000294216
100,1658.65,0.70196,0.46794,0.89218,0.78156,0.7027,0.76117,0.47171,1.23551,0.95986,1.13496,0.000288718,0.000288718,0.000288718
101,1675.2,0.69569,0.46174,0.88935,0.78074,0.72189,0.77607,0.48585,1.21036,0.92055,1.12593,0.00028322,0.00028322,0.00028322
102,1691.83,0.70138,0.45681,0.89039,0.79432,0.7123,0.76757,0.46921,1.23006,0.95323,1.11623,0.000277722,0.000277722,0.000277722
103,1708.46,0.70226,0.4708,0.88773,0.82929,0.68446,0.76959,0.48193,1.20997,0.98237,1.09841,0.000272224,0.000272224,0.000272224
104,1725.19,0.72468,0.47082,0.88292,0.75914,0.71183,0.77087,0.47739,1.23802,0.96583,1.11422,0.000266727,0.000266727,0.000266727
105,1741.77,0.69335,0.45812,0.88968,0.80787,0.68463,0.76742,0.47999,1.24002,0.93773,1.11508,0.000261229,0.000261229,0.000261229
